name,href,author,score,record,introduction,tag
无声告白,https://read.douban.com//ebook/11275699/,刘慈欣,8.8,1208,"2014美国亚马逊年度图书 【豆瓣人气作者李荷西推荐·新春贺岁书】 “每个家庭都有着一份无声的告白，而爱会让人守口如瓶。” 我们终此一生，就是要摆脱他人的期待，找到真正的自己。 莉…
（更多）","['小说', '美国', '美国文学', '贺岁书', '伍绮诗']"
,,,,,,
刺杀骑士团长,https://read.douban.com//ebook/46507605/,〔日〕东野圭吾,8.4,257,"我”36岁，是一名肖像画家，妻子毫无征兆地提出离婚，于是”我”没带什么东西就离开了家，开车在外游荡了一个半月，经过山形到达北海道，又折回东北地区，最终在五月份厌倦了游荡，车也濒临报…
（更多）","['小说', '日本', '文学', '村上春树', '限时特价', '林少华']"
,,,,,,
白马山庄谜案,https://read.douban.com//ebook/48766280/,王蕴洁,8.8,37,"为了找出一年前哥哥的死亡真相，妹妹和好友来到位于长野县白马的鹅妈妈度假山庄，希望能查出线索。山庄以前的拥有者是一位英国妇人，每间房间的名字都是一首“鹅妈妈童谣”的歌名，房间内均挂…
（更多）","['小说', '悬疑', '推理', '日本文学', '东野圭吾', '限时特价']"
,,,,,,
后宫·如懿传.4,https://read.douban.com//ebook/9281153/,〔美〕安德烈·艾席蒙,9,200,"后宫之中，女人的恩宠殊荣，如潮涨潮退，只有孩子，是年轻时寂寥时光的抚慰，亦是红颜逝去后的倚仗。 从一场又一场滴水不漏的阴谋中逃出，她如愿坐上凤位，却因膝下无子，日日如坐针毡。 嫔…
（更多）","['小说', '言情', '宫廷', '宫斗', '流潋紫', '后宫']"
,,,,,,
地球上最后的夜晚,https://read.douban.com//ebook/3386145/,吴妍蓉,8.6,52,"《地球上最后的夜晚》由十四个故事组成，大部分故事的主人公是“B”：一个智利流亡者，在南美和欧洲漫无目的地游荡，串起了他同时代的其他人的故事，几乎都是在流亡生活中理想破灭的一代人，…
（更多）","['小说', '拉美文学', '外国文学', '限时特价', '智利', '波拉尼奥', '罗贝托·波拉尼奥作品系列', '波拉尼奥文集']"
,,,,,,
老人与海,https://read.douban.com//ebook/515483/,〔英〕蕾秋·乔伊斯,8.8,306,"《老人与海》是海明威最著名的中篇小说，曾获普利策奖和诺贝尔文学奖。小说塑造了人类文学史上一个平民英雄的形象：古巴老渔夫圣地亚哥出海八十四天都一无所获，但他却并未绝望，最终钓上了一…
（更多）","['小说', '经典', '美国文学', '诺贝尔', '中篇', '译林名著系列', '世界名著', '历届诺贝尔奖得主']"
,,,,,,
人性的枷锁,https://read.douban.com//ebook/21771165/,黄妙瑜,9.6,611,"《人性的枷锁》是英国19世纪知名作家威廉·萨默塞特·毛姆的长篇半自传体小说，也是其代表作品。这部小说是一部半自传体性的作品。小说通过叙述主人公菲利普从童年时代起的三十年生活经历，反…
（更多）","['小说', '自传', '文学', '英国', '毛姆', '限时特价', '世界名著']"
,,,,,,
失踪的孩子,https://read.douban.com//ebook/53497963/,〔美〕伍绮诗,9.4,121,"“我的整个生命，只是一场为了提升社会地位的低俗斗争。” 全球畅销近千万册被翻译成40多种语言 《我的天才女友》《新名字的故事》《离开的，留下的》—— 那不勒斯四部曲NO.4令人欲罢不能…
（更多）","['小说', '文学', '意大利', '女性', '外国文学', '限时特价', '埃莱娜·费兰特', '那不勒斯四部曲']"
,,,,,,
三体2：黑暗森林,https://read.douban.com//ebook/934186/,孙璐,9.6,1838,"第73届雨果奖 最佳长篇故事获奖作品。 三体人在利用魔法般的科技锁死了地球人的科学之后，庞大的宇宙舰队杀气腾腾地直扑太阳系，意欲清除地球文明。 面对前所未有的危局，经历过无数磨难的…
（更多）","['科幻', '科幻小说', '刘慈欣', '限时特价', '三体', '类型小说']"
,,,,,,
笑场,https://read.douban.com//ebook/19344749/,〔日〕村上春树,8.4,264,"黑色幽默仁波切、一米八三大诗人“自扯自蛋”首部奇思妙想故事集，为聪明人提供幸福感。 内容分为三部分：第一部分是作者在网络上十分流行的《扯经》故事，讲述遗寺师徒二人的幽默生活。第二…
（更多）","['小说', '随笔', '佛教', '荒诞', '黑色幽默', '李诞', '自扯自蛋']"
,,,,,,
沧浪之水,https://read.douban.com//ebook/518857/,林少华,9,332,"阎真以犀利如刀的文笔和生动逼真的故事，写出省卫生厅公务员、医药学研究生池大为从无职无权、空怀壮志，到时来运转、大展宏图的过程。 酸甜苦辣的人生况味，险象环生的升迁之路。你死我活的…
（更多）","['小说', '成长', '现代文学', '现实', '官场', '限时特价', '沧浪之水', '阎真', '官场小说', '夏日阅读', '类型小说']"
,,,,,,
大裂,https://read.douban.com//ebook/29591419/,〔日〕东野圭吾,8,286,"我要看清楚那头大象为什么要一直坐在那儿，这可能是我这辈子最大的困惑。／《大象席地而坐》 上帝经常会让你一无所有,再给你一点甜头,这点甜头就是在闭上眼睛的一瞬间,让你错觉拥有了很多东…
（更多）","['小说', '科幻', '文学', '成长', '胡迁']"
